Time,RPM,Temperature,PH
11:31:13,400,20.0,5
11:31:14,400,20.0,5
11:31:15,400,20.0,5
11:31:16,400,20.0,5
11:31:17,400,20.0,5
11:31:18,400,20.0,5
11:31:19,900,20.0,5
11:31:20,1590,20.0,5
11:31:21,1620,20.0,5
11:31:22,1560,20.0,5
11:31:23,1500,20.0,5
11:31:24,1500,20.0,5
11:31:25,1470,20.0,5
11:31:26,1410,20.0,5
11:31:27,1380,20.0,5
11:31:28,1350,20.0,5
11:31:29,1320,20.0,5
11:31:30,1290,20.0,5
11:31:31,1260,20.0,5
11:31:32,1200,20.0,5
11:31:33,1170,20.0,5
11:31:34,1140,20.0,5
11:31:35,1080,20.0,5
11:31:36,1080,20.0,5
11:31:37,1020,20.0,5
11:31:38,1050,20.0,5
11:31:39,1020,20.0,5
11:31:40,1020,20.0,5
11:31:41,990,20.0,5
11:31:42,1020,20.0,5
11:31:43,990,20.0,5
11:31:44,1020,20.0,5
11:31:45,1020,20.0,5
11:31:46,1020,20.0,5
11:31:48,990,20.0,5
11:31:49,990,20.0,5
11:31:50,990,20.0,5
11:31:51,1020,20.0,5
11:31:52,990,20.0,5
11:31:53,1020,20.0,5
11:31:54,990,20.0,5
11:31:55,960,20.0,5
11:31:56,990,20.0,5
11:31:57,990,20.0,5
11:31:58,990,20.0,5
11:31:59,990,20.0,5
11:32:0,990,20.0,5
11:32:1,990,20.0,5
11:32:2,990,20.0,5
11:32:3,990,20.0,5
11:32:4,990,20.0,5
11:32:5,1020,20.0,5
11:32:6,990,20.0,5
11:32:7,960,20.0,5
11:32:8,990,20.0,5
11:32:9,990,20.0,5
11:32:10,1020,20.0,5
11:32:11,1020,20.0,5
11:32:12,990,20.0,5
11:32:13,960,20.0,5
11:32:14,990,20.0,5
11:32:15,990,20.0,5
11:32:16,1020,20.0,5
11:32:17,990,20.0,5
11:32:18,960,20.0,5
11:32:19,990,20.0,5
11:32:20,990,20.0,5
11:32:21,960,20.0,5
11:32:22,990,20.0,5
11:32:23,990,20.0,5
11:32:24,990,20.0,5
11:32:25,990,20.0,5
11:32:26,1020,20.0,5
11:32:28,1710,20.0,5
11:32:29,930,20.0,5
11:32:30,840,20.0,5
11:32:31,780,20.0,5
11:32:32,750,20.0,5
11:32:33,750,20.0,5
11:32:34,720,20.0,5
11:32:35,690,20.0,5
11:32:36,720,20.0,5
11:32:37,720,20.0,5
11:32:38,690,20.0,5
11:32:39,660,20.0,5
11:32:40,690,20.0,5
11:32:41,690,20.0,5
11:32:42,690,20.0,5
11:32:43,690,20.0,5
11:32:44,660,20.0,5
11:32:45,690,20.0,5
11:32:46,660,20.0,5
11:32:47,690,20.0,5
11:32:48,690,20.0,5
