Time,RPM,Temperature,PH
11:42:36,1530,20.0,5
11:42:37,1050,20.0,5
11:42:38,1020,20.0,5
11:42:39,990,20.0,5
11:42:40,1410,20.0,5
11:42:41,990,20.0,5
11:42:42,1080,20.0,5
11:42:43,1170,20.0,5
11:42:44,1200,20.0,5
11:42:45,1260,20.0,5
11:42:46,1320,20.0,5
11:42:47,1350,20.0,5
11:42:48,1410,20.0,5
11:42:49,1440,20.0,5
11:42:50,1440,20.0,5
11:42:51,1470,20.0,5
11:42:52,1470,20.0,5
11:42:53,1470,20.0,5
11:42:54,1500,20.0,5
11:42:55,1500,20.0,5
11:42:56,1500,20.0,5
11:42:57,1500,20.0,5
11:42:58,1500,20.0,5
11:42:59,1500,20.0,5
11:43:0,1500,20.0,5
11:43:2,1500,20.0,5
11:43:3,1500,20.0,5
11:43:4,1500,20.0,5
11:43:5,1500,20.0,5
11:43:6,1500,20.0,5
11:43:7,1470,20.0,5
11:43:8,1500,20.0,5
11:43:9,1500,20.0,5
11:43:10,1470,20.0,5
11:43:11,1500,20.0,5
11:43:12,1500,20.0,5
11:43:13,1530,20.0,5
11:43:14,1500,20.0,5
11:43:15,1500,20.0,5
11:43:16,1500,20.0,5
11:43:17,1500,20.0,5
11:43:18,1500,20.0,5
11:43:19,1470,20.0,5
11:43:20,1530,20.0,5
11:43:21,1500,20.0,5
11:43:22,1500,20.0,5
11:43:23,1530,20.0,5
