Time,RPM,Temperature,PH
9:8:56,1000,20.0,5
9:8:56,1000,20.0,5
9:8:57,1000,20.0,5
9:8:57,1000,20.0,5
9:8:58,1000,20.0,5
9:8:58,1000,20.0,5
9:8:59,1000,20.0,5
9:8:59,1000,20.0,5
9:9:0,1000,20.0,5
9:9:0,1000,20.0,5
9:9:1,1000,20.0,5
9:9:1,1000,20.0,5
9:9:2,1000,20.0,5
9:9:2,1000,20.0,5
9:9:3,1000,20.0,5
9:9:3,1000,20.0,5
9:9:4,1000,20.0,5
9:9:4,1000,20.0,5
9:9:6,1350,20.0,5
9:9:6,1350,20.0,5
9:9:7,1350,20.0,5
9:9:7,1350,20.0,5
9:9:8,1350,20.0,5
9:9:8,1350,20.0,5
9:9:9,1350,20.0,5
9:9:9,1350,20.0,5
9:9:10,1350,20.0,5
9:9:10,1350,20.0,5
9:9:11,1350,20.0,5
9:9:11,1350,20.0,5
9:9:12,1350,20.0,5
9:9:12,1350,20.0,5
9:9:13,1350,20.0,5
9:9:13,1350,20.0,5
9:9:14,1350,20.0,5
9:9:14,1350,20.0,5
9:9:15,1350,20.0,5
9:9:15,1350,20.0,5
9:9:16,1350,20.0,5
9:9:16,1350,20.0,5
9:9:17,1350,20.0,5
9:9:17,1350,20.0,5
9:9:18,1350,20.0,5
9:9:18,1350,20.0,5
9:9:19,1350,20.0,5
9:9:19,1350,20.0,5
